,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,province,region
1725,2322,HOUSE,VILLA,769000,4,264,1,0,0,1,1.0,1,1.0,4751.0,4,0,AS_NEW,Anvers,Region Flamande
1726,1000,APARTMENT,APARTMENT,500000,2,90,1,0,0,1,12.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1727,9970,APARTMENT,PENTHOUSE,280000,3,119,1,0,0,0,None,0,None,0.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
1728,8790,APARTMENT,APARTMENT,295000,3,100,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
1729,9860,HOUSE,HOUSE,699000,4,226,1,0,0,1,None,1,None,6850.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
1730,1470,APARTMENT,TRIPLEX,170000,3,80,0,0,1,0,None,0,None,0.0,2,0,GOOD,Brabant_Wallon,Region Wallonne
1731,1150,APARTMENT,APARTMENT,750000,3,300,1,0,0,0,None,0,None,0.0,3,0,any_information,Bruxelles,Bruxelles-capitale
1732,4800,HOUSE,HOUSE,180000,5,200,1,0,0,1,10.0,1,122.0,215.0,2,0,GOOD,Liege,Region Wallonne
1733,1853,APARTMENT,APARTMENT,225000,2,102,1,0,0,1,7.0,0,None,0.0,0,0,TO_BE_DONE_UP,Brabant_Flamand,Region Flamande
1734,6200,HOUSE,HOUSE,79000,2,92,1,0,0,1,10.0,1,31.0,128.0,2,0,TO_RENOVATE,Hainaut,Region Wallonne
1736,1800,APARTMENT,APARTMENT,289000,2,106,1,0,0,1,10.0,1,20.0,0.0,0,0,AS_NEW,Brabant_Flamand,Region Flamande
1737,1500,APARTMENT,APARTMENT,204500,1,70,0,0,0,0,None,0,None,0.0,0,0,any_information,,Region Wallonne
1738,2800,APARTMENT,APARTMENT,790000,2,166,1,0,0,1,21.0,0,None,0.0,0,0,AS_NEW,Anvers,Region Flamande
1739,1050,APARTMENT,FLAT_STUDIO,115000,1,20,1,0,0,0,None,1,None,0.0,0,0,AS_NEW,Bruxelles,Bruxelles-capitale
1740,1030,HOUSE,HOUSE,645000,5,425,1,0,0,1,None,0,None,247.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
1742,4000,HOUSE,HOUSE,179500,6,200,1,0,0,0,None,0,None,93.0,2,0,GOOD,,Region Wallonne
1745,6730,APARTMENT,APARTMENT,212000,2,73,0,0,0,1,12.0,0,None,0.0,4,0,AS_NEW,Luxembourg,Region Wallonne
1746,3800,HOUSE,HOUSE,349000,2,150,1,0,0,0,None,1,None,0.0,3,0,GOOD,Limbourg,Region Flamande
1747,2400,HOUSE,HOUSE,260000,7,427,0,0,0,0,None,0,None,7212.0,4,0,any_information,Anvers,Region Flamande
1749,4520,HOUSE,HOUSE,329000,5,210,1,0,0,1,40.0,1,60.0,994.0,4,0,GOOD,Liege,Region Wallonne
1750,9600,HOUSE,HOUSE,250000,4,130,0,0,0,0,None,0,None,50.0,2,0,GOOD,Flandre-Orientale,Region Flamande
1751,1300,APARTMENT,APARTMENT,295000,2,90,1,0,0,1,18.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1752,7000,APARTMENT,APARTMENT,138500,1,61,1,0,0,1,23.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1754,8500,HOUSE,HOUSE,95000,1,65,0,0,0,0,None,0,None,95.0,2,0,TO_BE_DONE_UP,Flandre-Occidentale,Region Flamande
1755,2560,HOUSE,HOUSE,299500,3,134,0,0,0,1,15.0,0,None,178.0,3,0,any_information,Anvers,Region Flamande
1756,3390,APARTMENT,APARTMENT,229500,2,84,0,0,0,1,22.0,0,None,0.0,0,0,AS_NEW,Brabant_Flamand,Region Flamande
1758,1410,APARTMENT,APARTMENT,290000,2,110,1,0,0,1,2.0,0,None,0.0,4,0,AS_NEW,Brabant_Wallon,Region Wallonne
1759,1150,HOUSE,VILLA,1775000,7,475,1,0,0,1,76.0,1,1000.0,1195.0,4,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
1760,3370,HOUSE,HOUSE,379000,3,140,1,0,0,0,None,1,None,476.0,3,0,GOOD,Brabant_Flamand,Region Flamande
1761,1560,HOUSE,HOUSE,795000,4,270,1,0,0,1,None,1,1420.0,2240.0,4,0,GOOD,Brabant_Flamand,Region Flamande
1762,1083,APARTMENT,APARTMENT,240000,3,108,1,0,1,1,11.0,0,None,0.0,2,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
1763,4671,HOUSE,VILLA,460000,3,168,1,0,1,1,50.0,1,3300.0,3440.0,4,1,AS_NEW,Liege,Region Wallonne
1764,1200,HOUSE,HOUSE,2495000,7,460,1,0,0,1,48.0,1,390.0,564.0,2,0,JUST_RENOVATED,Bruxelles,Bruxelles-capitale
1765,7950,HOUSE,HOUSE,330000,3,290,1,0,1,0,None,1,None,3200.0,4,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
1766,1050,APARTMENT,PENTHOUSE,495000,2,159,1,0,0,1,34.0,0,None,0.0,3,0,JUST_RENOVATED,Bruxelles,Bruxelles-capitale
1767,8760,HOUSE,MIXED_USE_BUILDING,650000,6,320,0,0,0,0,None,0,None,240.0,0,0,any_information,Flandre-Occidentale,Region Flamande
1768,9052,HOUSE,HOUSE,320000,3,131,1,0,0,1,16.0,1,None,147.0,0,0,any_information,Flandre-Orientale,Region Flamande
1769,6940,APARTMENT,DUPLEX,154000,2,98,0,0,0,0,None,0,None,0.0,3,0,JUST_RENOVATED,Luxembourg,Region Wallonne
1770,4577,HOUSE,HOUSE,275000,3,120,1,0,0,1,None,0,None,3220.0,4,0,GOOD,Liege,Region Wallonne
1771,2018,APARTMENT,APARTMENT,189000,1,50,0,0,0,0,None,0,None,0.0,0,0,any_information,Anvers,Region Flamande
1772,3360,HOUSE,HOUSE,589000,5,223,1,0,0,0,None,1,750.0,1210.0,4,0,GOOD,Brabant_Flamand,Region Flamande
1773,1495,HOUSE,HOUSE,199000,2,95,1,0,0,0,None,0,None,1.0,3,0,GOOD,Brabant_Wallon,Region Wallonne
1774,8370,APARTMENT,APARTMENT,155000,1,45,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
1775,9000,APARTMENT,APARTMENT,645000,2,107,1,0,0,1,15.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
1776,1180,APARTMENT,APARTMENT,245000,1,62,1,0,0,0,None,0,None,0.0,2,0,GOOD,Bruxelles,Bruxelles-capitale
1777,1070,HOUSE,APARTMENT_BLOCK,389000,3,190,1,0,0,1,27.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
1778,9420,HOUSE,HOUSE,325000,3,165,1,0,0,1,20.0,1,None,138.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
1779,9000,APARTMENT,APARTMENT,365940,2,87,1,0,0,1,10.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
1780,9900,APARTMENT,APARTMENT,225000,2,90,1,0,0,1,None,1,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
1782,8300,HOUSE,HOUSE,1875000,8,356,1,0,0,0,None,0,None,350.0,3,0,AS_NEW,Flandre-Occidentale,Region Flamande
1783,2330,HOUSE,HOUSE,464484,5,257,0,0,0,0,None,0,None,380.0,3,0,any_information,Anvers,Region Flamande
1784,9630,HOUSE,HOUSE,300000,3,158,1,0,0,0,None,0,None,618.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
1786,1000,APARTMENT,APARTMENT,350000,2,84,1,0,0,0,None,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1788,2660,HOUSE,HOUSE,399000,3,175,1,0,1,0,None,1,150.0,272.0,2,0,AS_NEW,Anvers,Region Flamande
1789,9700,APARTMENT,APARTMENT,206000,2,70,0,0,0,1,4.0,0,None,0.0,2,0,GOOD,Flandre-Orientale,Region Flamande
1790,1700,APARTMENT,PENTHOUSE,575000,4,299,1,0,0,1,14.0,0,None,0.0,0,0,TO_BE_DONE_UP,Brabant_Flamand,Region Flamande
1791,9200,HOUSE,HOUSE,475000,3,214,1,0,0,1,50.0,0,None,967.0,4,0,any_information,Flandre-Orientale,Region Flamande
1792,1000,APARTMENT,APARTMENT,255000,2,82,1,0,0,1,7.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1793,1380,HOUSE,HOUSE,695000,4,225,1,0,0,1,18.0,1,100.0,503.0,4,0,AS_NEW,Brabant_Wallon,Region Wallonne
1794,2800,HOUSE,HOUSE,469000,4,213,1,0,0,0,None,0,None,74.0,3,0,TO_BE_DONE_UP,Anvers,Region Flamande
1795,1703,HOUSE,APARTMENT_BLOCK,915000,6,524,1,0,0,1,None,0,None,389.0,2,0,GOOD,Brabant_Flamand,Region Flamande
1796,2600,APARTMENT,APARTMENT,288500,2,90,1,0,0,1,10.0,0,None,0.0,2,0,GOOD,Anvers,Region Flamande
1798,1180,APARTMENT,APARTMENT,920000,3,195,1,0,0,1,None,0,None,0.0,4,0,AS_NEW,Bruxelles,Bruxelles-capitale
1799,7711,HOUSE,MANSION,450000,5,480,0,0,0,0,None,0,None,685.0,2,0,TO_RENOVATE,Hainaut,Region Wallonne
1800,9600,HOUSE,HOUSE,165000,3,107,1,0,0,1,None,0,None,100.0,2,0,GOOD,Flandre-Orientale,Region Flamande
1801,8000,APARTMENT,PENTHOUSE,395000,2,91,1,0,0,1,4.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
1803,4400,HOUSE,HOUSE,850000,8,424,1,0,0,1,51.0,0,None,0.0,0,0,any_information,Liege,Region Wallonne
1804,1190,HOUSE,HOUSE,695000,8,390,0,0,0,1,None,0,None,295.0,2,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
1805,9185,HOUSE,HOUSE,295000,3,110,1,0,0,0,None,1,210.0,599.0,0,0,AS_NEW,Flandre-Orientale,Region Flamande
1807,1180,APARTMENT,APARTMENT,1100000,4,215,1,0,1,1,40.0,0,None,0.0,4,0,AS_NEW,Bruxelles,Bruxelles-capitale
1808,7080,HOUSE,HOUSE,210000,4,256,1,0,0,1,None,0,None,201.0,3,0,GOOD,Hainaut,Region Wallonne
1809,9900,APARTMENT,SERVICE_FLAT,232500,1,82,1,0,0,1,11.0,1,92.0,0.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
1810,1180,HOUSE,VILLA,2950000,5,600,1,0,0,0,None,0,None,1980.0,4,0,JUST_RENOVATED,Bruxelles,Bruxelles-capitale
1812,8730,APARTMENT,APARTMENT,228000,2,94,0,0,0,1,None,1,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
1813,2845,APARTMENT,APARTMENT,299000,2,124,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Anvers,Region Flamande
1815,1760,APARTMENT,APARTMENT,273325,2,97,1,0,0,1,9.0,0,None,0.0,2,0,AS_NEW,Brabant_Flamand,Region Flamande
1816,6990,HOUSE,FARMHOUSE,795000,11,550,1,0,0,1,460.0,1,3600.0,3600.0,4,0,GOOD,Luxembourg,Region Wallonne
1817,1030,APARTMENT,GROUND_FLOOR,225000,2,78,1,0,0,1,13.0,0,None,0.0,3,0,GOOD,Bruxelles,Bruxelles-capitale
1818,1180,APARTMENT,APARTMENT,340500,2,95,1,0,0,1,10.0,0,None,0.0,4,0,any_information,Bruxelles,Bruxelles-capitale
1819,1332,HOUSE,VILLA,650000,8,350,0,0,1,1,None,1,None,1500.0,4,0,any_information,Brabant_Wallon,Region Wallonne
1820,1360,APARTMENT,LOFT,750000,0,210,1,0,0,1,21.0,0,None,0.0,2,0,GOOD,Brabant_Wallon,Region Wallonne
1821,4460,APARTMENT,APARTMENT,245000,1,130,1,0,0,1,25.0,0,None,0.0,2,0,AS_NEW,Liege,Region Wallonne
1822,1180,HOUSE,HOUSE,1250000,4,351,1,0,1,1,35.0,1,490.0,5059.0,3,1,AS_NEW,Bruxelles,Bruxelles-capitale
1823,2000,APARTMENT,APARTMENT,339000,2,81,1,0,0,1,12.0,0,None,0.0,2,0,GOOD,,Region Wallonne
1824,9300,APARTMENT,DUPLEX,289000,2,180,1,0,0,1,None,0,None,0.0,0,0,GOOD,Flandre-Orientale,Region Flamande
1825,1420,HOUSE,HOUSE,270000,3,125,1,0,0,1,11.0,1,90.0,180.0,2,0,GOOD,Brabant_Wallon,Region Wallonne
1827,1050,APARTMENT,APARTMENT,585000,1,100,1,0,0,1,2.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
1828,3001,APARTMENT,PENTHOUSE,360000,3,120,1,0,0,1,11.0,0,None,0.0,0,0,GOOD,Brabant_Flamand,Region Flamande
1829,1050,HOUSE,HOUSE,700000,4,220,1,0,0,1,11.0,1,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
1830,7380,HOUSE,HOUSE,80000,3,159,0,0,0,0,None,0,None,220.0,2,0,TO_RENOVATE,Hainaut,Region Wallonne
1831,4500,APARTMENT,APARTMENT,199000,2,140,1,0,0,1,None,0,None,0.0,2,0,GOOD,Liege,Region Wallonne
1832,4280,HOUSE,HOUSE,226000,2,87,1,0,0,1,24.0,1,264.0,333.0,2,0,GOOD,Liege,Region Wallonne
1833,1050,APARTMENT,APARTMENT,375000,3,120,0,0,1,1,None,0,None,0.0,2,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
1834,1060,APARTMENT,TRIPLEX,420000,3,130,1,0,0,0,None,0,None,0.0,2,0,TO_BE_DONE_UP,Bruxelles,Bruxelles-capitale
1836,8300,APARTMENT,APARTMENT,795000,2,83,1,0,0,1,10.0,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
1837,2930,HOUSE,COUNTRY_COTTAGE,649000,3,208,1,0,0,1,24.0,1,300.0,447.0,0,0,AS_NEW,Anvers,Region Flamande
1838,4100,APARTMENT,APARTMENT,210000,2,70,0,0,0,0,None,0,None,0.0,0,0,any_information,Liege,Region Wallonne
1839,1470,APARTMENT,APARTMENT,230000,3,90,0,0,0,0,None,0,None,0.0,2,0,JUST_RENOVATED,Brabant_Wallon,Region Wallonne
1840,8430,APARTMENT,DUPLEX,510000,3,87,0,0,0,0,None,0,None,0.0,3,0,any_information,Flandre-Occidentale,Region Flamande
1841,4030,HOUSE,HOUSE,185000,3,108,1,0,0,1,None,0,None,70.0,2,0,GOOD,Liege,Region Wallonne
1843,1070,APARTMENT,APARTMENT,239000,2,99,1,0,0,1,52.0,0,None,0.0,3,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
1844,8552,HOUSE,HOUSE,255500,4,150,1,0,0,1,None,0,None,131.0,0,0,GOOD,Flandre-Occidentale,Region Flamande
1845,1800,HOUSE,HOUSE,349900,3,126,1,0,0,0,None,1,108.0,165.0,2,0,GOOD,Brabant_Flamand,Region Flamande
1846,1050,APARTMENT,APARTMENT,275000,1,70,0,0,0,1,3.0,0,None,0.0,3,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
1850,6001,HOUSE,HOUSE,99000,2,115,1,0,0,1,5.0,0,None,60.0,3,0,TO_RENOVATE,Hainaut,Region Wallonne
1852,1140,APARTMENT,APARTMENT,298000,2,83,1,0,0,1,11.0,0,None,0.0,2,0,GOOD,Bruxelles,Bruxelles-capitale
1853,5004,HOUSE,HOUSE,330000,4,120,1,0,0,1,40.0,1,110.0,164.0,2,0,AS_NEW,Namur,Region Wallonne
1854,4671,HOUSE,HOUSE,185000,5,371,0,0,0,0,None,0,None,5152.0,4,0,TO_RENOVATE,Liege,Region Wallonne
1855,6600,APARTMENT,APARTMENT,279000,2,115,1,0,0,1,None,0,None,0.0,4,0,AS_NEW,,Region Wallonne
1857,8400,HOUSE,APARTMENT_BLOCK,665000,8,260,1,0,0,0,None,0,None,93.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
1858,1000,APARTMENT,APARTMENT,245000,1,73,1,0,0,1,2.0,0,None,0.0,0,0,any_information,,Region Wallonne
1859,9620,HOUSE,HOUSE,310000,2,118,0,0,0,1,7.0,1,54.0,109.0,0,0,any_information,Flandre-Orientale,Region Flamande
1860,8870,APARTMENT,APARTMENT,253480,2,103,1,0,0,1,23.0,0,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
1861,6760,HOUSE,HOUSE,465000,3,222,1,0,0,0,None,0,None,1361.0,4,0,AS_NEW,Luxembourg,Region Wallonne
1863,7850,APARTMENT,APARTMENT,177000,2,86,1,0,0,1,7.0,0,None,0.0,3,0,AS_NEW,Hainaut,Region Wallonne
1865,8650,APARTMENT,APARTMENT,245000,4,320,0,0,0,0,None,0,None,0.0,0,0,JUST_RENOVATED,Flandre-Occidentale,Region Flamande
1866,9700,HOUSE,MIXED_USE_BUILDING,330000,4,213,1,0,0,0,None,1,168.0,555.0,3,0,TO_RENOVATE,Flandre-Orientale,Region Flamande
1867,1030,HOUSE,APARTMENT_BLOCK,1950000,12,585,1,0,0,1,30.0,0,None,0.0,3,0,JUST_RENOVATED,Bruxelles,Bruxelles-capitale
1868,2520,HOUSE,HOUSE,590000,4,250,1,0,0,1,20.0,0,None,438.0,3,0,GOOD,Anvers,Region Flamande
1870,4350,HOUSE,VILLA,385000,3,165,1,0,0,1,None,0,None,780.0,4,0,AS_NEW,Liege,Region Wallonne
1871,9900,APARTMENT,SERVICE_FLAT,227500,1,85,1,0,0,1,8.0,0,None,0.0,4,0,AS_NEW,Flandre-Orientale,Region Flamande
1872,7022,APARTMENT,PENTHOUSE,650000,3,253,0,0,0,1,None,0,None,0.0,4,1,any_information,Hainaut,Region Wallonne
1873,1180,HOUSE,MIXED_USE_BUILDING,225000,2,71,0,0,0,0,None,0,None,0.0,0,0,any_information,Bruxelles,Bruxelles-capitale
1874,3000,HOUSE,MIXED_USE_BUILDING,795000,4,205,1,0,0,1,18.0,1,61.0,147.0,2,0,JUST_RENOVATED,,Region Wallonne
1875,4560,HOUSE,HOUSE,399000,4,320,1,0,1,1,None,1,None,1783.0,4,0,GOOD,Liege,Region Wallonne
1877,8610,APARTMENT,APARTMENT,189000,2,100,1,0,0,0,None,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
1878,1370,HOUSE,VILLA,700000,6,360,0,0,0,1,None,0,None,2200.0,4,0,GOOD,Brabant_Wallon,Region Wallonne
1879,1325,HOUSE,HOUSE,549750,5,228,0,0,0,0,None,1,None,908.0,3,0,any_information,Brabant_Wallon,Region Wallonne
1880,6700,HOUSE,HOUSE,450000,3,186,1,0,0,1,30.0,1,1250.0,1510.0,3,0,AS_NEW,Luxembourg,Region Wallonne
1881,9255,HOUSE,HOUSE,333200,3,189,1,0,0,0,None,0,None,450.0,3,0,AS_NEW,Flandre-Orientale,Region Flamande
1882,4400,HOUSE,HOUSE,175000,3,130,1,0,0,1,10.0,0,None,175.0,2,0,GOOD,Liege,Region Wallonne
1883,4400,HOUSE,APARTMENT_BLOCK,850000,8,424,1,0,0,1,51.0,0,None,0.0,0,0,any_information,Liege,Region Wallonne
1884,8000,APARTMENT,FLAT_STUDIO,75000,0,16,0,1,0,0,None,0,None,0.0,0,0,AS_NEW,,Region Wallonne
1885,1000,APARTMENT,PENTHOUSE,415000,2,97,1,0,0,1,60.0,0,None,0.0,2,0,AS_NEW,,Region Wallonne
1886,8200,APARTMENT,APARTMENT,188000,2,67,0,0,0,1,None,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
1887,1180,APARTMENT,APARTMENT,495000,4,175,1,0,0,1,19.0,0,None,0.0,3,0,AS_NEW,Bruxelles,Bruxelles-capitale
1888,9000,APARTMENT,APARTMENT,399000,2,92,1,0,0,1,28.0,0,None,0.0,0,0,any_information,,Region Wallonne
1889,4260,HOUSE,HOUSE,199000,3,120,1,0,0,1,15.0,1,472.0,821.0,3,0,TO_BE_DONE_UP,Liege,Region Wallonne
1890,9120,APARTMENT,APARTMENT,306500,2,107,1,0,0,1,31.0,0,None,0.0,4,0,any_information,Flandre-Orientale,Region Flamande
1891,8800,APARTMENT,APARTMENT,158000,2,93,1,0,0,1,8.0,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
1892,1000,APARTMENT,PENTHOUSE,930000,3,212,1,0,0,1,43.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
1893,4121,HOUSE,VILLA,525000,4,275,1,0,0,1,20.0,1,1500.0,1637.0,4,0,TO_BE_DONE_UP,Liege,Region Wallonne
1894,9300,HOUSE,HOUSE,479000,4,250,1,0,0,1,None,0,None,1896.0,3,0,GOOD,Flandre-Orientale,Region Flamande
1895,1950,HOUSE,EXCEPTIONAL_PROPERTY,2550000,6,600,1,0,0,1,85.0,1,1650.0,2500.0,4,1,AS_NEW,Brabant_Flamand,Region Flamande
1896,8300,APARTMENT,APARTMENT,295000,1,55,0,0,0,0,None,1,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
1897,7850,APARTMENT,SERVICE_FLAT,210000,1,55,1,0,0,0,None,0,None,0.0,4,0,AS_NEW,Hainaut,Region Wallonne
1898,1332,APARTMENT,APARTMENT,235000,2,100,1,0,0,0,None,0,None,0.0,0,0,any_information,Brabant_Wallon,Region Wallonne
1899,1380,HOUSE,HOUSE,1890000,7,470,1,0,0,1,None,0,None,3800.0,4,1,GOOD,Brabant_Wallon,Region Wallonne
1900,3650,APARTMENT,PENTHOUSE,188000,1,68,1,1,0,1,30.0,0,None,0.0,2,0,AS_NEW,Limbourg,Region Flamande
1901,8501,HOUSE,HOUSE,290100,3,129,1,0,0,0,None,0,None,259.0,3,0,GOOD,Flandre-Occidentale,Region Flamande
1902,9660,HOUSE,HOUSE,310000,4,184,1,0,0,1,None,0,None,400.0,2,0,AS_NEW,Flandre-Orientale,Region Flamande
1903,8434,APARTMENT,APARTMENT,165000,2,64,0,0,0,1,None,0,None,0.0,2,0,any_information,Flandre-Occidentale,Region Flamande
1904,9900,APARTMENT,APARTMENT,395000,2,100,1,0,0,1,None,1,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
1905,2800,HOUSE,HOUSE,473000,5,240,1,0,0,0,None,1,None,174.0,2,0,JUST_RENOVATED,Anvers,Region Flamande
1906,6224,HOUSE,HOUSE,219000,3,147,1,0,0,1,71.0,0,None,530.0,2,0,GOOD,Hainaut,Region Wallonne
1907,6040,HOUSE,HOUSE,299900,7,352,1,0,0,1,15.0,1,500.0,690.0,3,0,AS_NEW,Hainaut,Region Wallonne
1908,5580,HOUSE,HOUSE,280000,4,166,1,0,0,1,None,1,1586.0,1586.0,4,1,TO_BE_DONE_UP,Namur,Region Wallonne
1909,8310,HOUSE,HOUSE,500000,3,210,0,0,0,0,None,0,None,180.0,0,0,any_information,Flandre-Occidentale,Region Flamande
1910,8300,HOUSE,VILLA,2999000,5,191,0,0,0,1,None,0,None,290.0,3,0,GOOD,Flandre-Occidentale,Region Flamande
1911,1390,HOUSE,VILLA,1375000,4,550,0,0,1,0,None,0,None,1850.0,4,1,GOOD,Brabant_Wallon,Region Wallonne
1912,8300,APARTMENT,APARTMENT,1100000,3,110,1,0,0,1,None,1,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
1913,2640,APARTMENT,APARTMENT,225000,1,60,0,0,0,1,5.0,0,None,0.0,2,0,any_information,Anvers,Region Flamande
1914,3500,APARTMENT,PENTHOUSE,313500,1,70,0,1,0,1,18.0,0,None,0.0,1,0,any_information,,Region Wallonne
1915,1750,HOUSE,VILLA,699000,3,250,1,0,1,0,None,0,None,1110.0,4,0,GOOD,Brabant_Flamand,Region Flamande
1916,1070,APARTMENT,APARTMENT,175000,2,79,0,0,0,0,None,0,None,0.0,3,0,any_information,Bruxelles,Bruxelles-capitale
1919,9120,APARTMENT,APARTMENT,234000,2,90,1,0,0,0,None,0,None,0.0,4,0,any_information,Flandre-Orientale,Region Flamande
1920,1090,APARTMENT,APARTMENT,165000,1,84,1,0,0,0,None,0,None,0.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
1921,1180,APARTMENT,APARTMENT,585000,2,113,1,0,0,1,22.0,0,None,0.0,3,0,JUST_RENOVATED,Bruxelles,Bruxelles-capitale
1922,1700,HOUSE,APARTMENT_BLOCK,790000,7,360,1,0,0,0,None,0,None,280.0,3,0,GOOD,Brabant_Flamand,Region Flamande
1924,8530,APARTMENT,APARTMENT,245000,2,89,1,0,0,0,None,1,6.0,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
1925,9990,APARTMENT,APARTMENT,218500,2,82,1,0,0,0,None,1,25.0,0.0,2,0,AS_NEW,Flandre-Orientale,Region Flamande
1926,8300,APARTMENT,APARTMENT,795000,3,170,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
1927,9450,HOUSE,HOUSE,269000,2,200,1,0,0,1,None,1,400.0,592.0,3,0,GOOD,Flandre-Orientale,Region Flamande
1928,8200,APARTMENT,APARTMENT,349000,2,93,1,0,0,1,None,0,None,0.0,2,0,any_information,Flandre-Occidentale,Region Flamande
1929,1410,APARTMENT,APARTMENT,350000,2,99,0,0,0,1,16.0,1,133.0,0.0,0,0,AS_NEW,Brabant_Wallon,Region Wallonne
1930,8000,HOUSE,APARTMENT_BLOCK,724000,6,269,1,0,0,1,65.0,0,None,135.0,2,0,AS_NEW,,Region Wallonne
1931,9240,APARTMENT,APARTMENT,290000,2,98,1,0,0,1,15.0,0,None,0.0,3,0,any_information,Flandre-Orientale,Region Flamande
1932,9900,APARTMENT,APARTMENT,174000,1,65,1,0,0,1,None,0,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
1933,1348,APARTMENT,GROUND_FLOOR,344000,2,91,1,0,0,1,None,0,None,0.0,0,0,AS_NEW,Brabant_Wallon,Region Wallonne
1934,6060,HOUSE,HOUSE,88000,2,139,1,0,0,1,5.0,1,220.0,352.0,4,0,any_information,Hainaut,Region Wallonne
1935,9041,HOUSE,HOUSE,340000,3,144,0,0,0,0,None,1,None,443.0,0,0,any_information,Flandre-Orientale,Region Flamande
1936,8500,APARTMENT,LOFT,525000,3,219,0,0,0,0,None,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
1937,9300,HOUSE,EXCEPTIONAL_PROPERTY,1250000,4,555,1,0,1,1,25.0,1,225.0,425.0,2,0,JUST_RENOVATED,Flandre-Orientale,Region Flamande
1938,8370,APARTMENT,APARTMENT,285000,2,92,1,0,0,1,None,0,None,0.0,3,0,GOOD,Flandre-Occidentale,Region Flamande
1939,1540,APARTMENT,APARTMENT,459000,3,421,1,0,0,1,None,0,None,0.0,3,0,GOOD,Brabant_Flamand,Region Flamande
1940,8300,APARTMENT,APARTMENT,865000,3,103,1,0,0,0,None,0,None,0.0,2,0,JUST_RENOVATED,Flandre-Occidentale,Region Flamande
1941,4000,HOUSE,HOUSE,265000,3,132,1,0,0,1,30.0,0,None,107.0,2,0,GOOD,,Region Wallonne
1942,1030,APARTMENT,APARTMENT,445000,4,165,1,0,0,0,None,0,None,0.0,3,0,GOOD,Bruxelles,Bruxelles-capitale
1944,7783,HOUSE,HOUSE,185000,3,200,0,0,0,1,165.0,1,50.0,0.0,2,0,TO_RENOVATE,Hainaut,Region Wallonne
1945,8800,HOUSE,HOUSE,348000,5,169,0,0,0,0,None,1,None,531.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
1946,9600,HOUSE,HOUSE,189000,2,162,1,0,0,1,10.0,1,50.0,170.0,2,0,GOOD,Flandre-Orientale,Region Flamande
1947,7350,HOUSE,HOUSE,650000,3,300,1,0,0,1,None,0,None,3900.0,4,1,AS_NEW,Hainaut,Region Wallonne
