,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
55,1000,1,LOFT,750000,2,172,1,0,0,1,33.0,0,None,0,0,0,AS_NEW
56,8620,1,APARTMENT,675000,3,130,1,1,0,1,None,1,None,0,0,0,unknown
57,4870,1,APARTMENT,175000,2,100,1,0,0,0,None,0,None,0,0,0,AS_NEW
58,9200,0,HOUSE,277500,4,154,1,0,0,1,None,1,242.0,481,3,0,unknown
59,8930,1,PENTHOUSE,193600,2,82,1,0,0,1,10.0,1,12.0,0,2,0,GOOD
60,4250,0,HOUSE,219000,3,163,1,0,0,1,24.0,1,950.0,1223,3,0,GOOD
61,9100,1,APARTMENT,313000,3,130,1,0,0,1,9.0,0,None,0,3,0,GOOD
62,8400,1,APARTMENT,589000,3,116,1,0,1,0,None,0,None,0,2,0,JUST_RENOVATED
63,2830,1,APARTMENT,234000,3,106,1,0,0,0,None,0,None,0,2,0,GOOD
64,7090,0,VILLA,540000,3,185,1,0,0,1,25.0,1,None,2222,4,0,GOOD
65,2180,0,HOUSE,540000,4,220,1,0,0,1,20.0,1,311.0,312,0,0,AS_NEW
66,1420,0,VILLA,875000,6,302,1,0,0,1,None,1,2500.0,3596,4,0,TO_BE_DONE_UP
67,8580,0,HOUSE,214000,3,125,0,0,0,0,None,1,327.0,486,2,0,TO_BE_DONE_UP
68,6183,1,APARTMENT,129000,2,117,1,0,0,1,None,0,None,0,2,0,GOOD
69,1050,1,PENTHOUSE,799000,3,164,1,0,0,1,20.0,0,None,0,0,0,AS_NEW
70,8400,1,APARTMENT,299000,3,114,1,0,0,1,12.0,0,None,0,2,0,GOOD
71,3290,0,HOUSE,229000,3,143,1,0,0,1,63.0,1,190.0,488,3,0,GOOD
72,8300,1,APARTMENT,895000,3,90,0,0,0,1,None,0,None,0,2,0,AS_NEW
73,9900,1,SERVICE_FLAT,199000,1,67,1,0,0,1,12.0,0,None,0,4,0,AS_NEW
74,8000,1,GROUND_FLOOR,299000,2,90,1,0,0,1,14.0,0,None,0,0,0,AS_NEW
75,9991,1,APARTMENT,266500,2,99,1,0,0,0,None,0,None,0,3,0,AS_NEW
76,8870,1,APARTMENT,279000,2,101,1,0,0,1,11.0,1,None,0,2,0,unknown
77,9140,1,APARTMENT,145000,2,85,1,0,0,1,8.0,0,None,0,2,0,unknown
78,1640,1,APARTMENT,449500,2,118,1,0,0,1,17.0,0,None,0,4,0,unknown
79,6800,0,HOUSE,539000,5,596,1,0,1,1,38.0,1,1300.0,1500,4,0,AS_NEW
80,8434,1,APARTMENT,225000,2,52,1,0,0,1,None,0,None,0,2,0,GOOD
81,4000,0,HOUSE,189000,7,264,1,0,0,1,6.0,0,None,100,2,0,unknown
82,9550,1,APARTMENT,251500,2,86,1,0,0,1,11.0,1,61.0,0,0,0,AS_NEW
