,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8020,1700,APARTMENT,APARTMENT,235000,2,,0,0,0,0,,0,,,4,0,AS_NEW
8022,8210,APARTMENT,APARTMENT,335000,2,108,1,0,0,1,12,0,,,4,0,AS_NEW
8024,1933,HOUSE,HOUSE,595000,4,300,1,0,0,1,12,0,,680,3,0,AS_NEW
8026,9000,HOUSE,HOUSE,265000,3,93,1,0,0,1,6,0,,37,2,0,AS_NEW
8028,8501,HOUSE,HOUSE,290100,3,129,1,0,0,0,,0,,259,3,0,GOOD
8030,1180,HOUSE,VILLA,2990000,5,500,1,0,0,1,,0,,2500,4,0,AS_NEW
8032,9690,HOUSE,HOUSE,283461,3,161,1,0,0,0,,1,,510,,0,AS_NEW
8034,1000,HOUSE,HOUSE,800000,4,328,1,0,0,1,1,1,38,127,2,0,TO_BE_DONE_UP
8036,9255,APARTMENT,APARTMENT,259000,1,87,0,0,0,1,,1,,,,0,AS_NEW
8038,9470,HOUSE,HOUSE,169000,4,200,1,0,0,1,20,0,,266,3,0,TO_RENOVATE
8040,8660,HOUSE,HOUSE,415000,6,237,1,0,0,0,,0,,311,,0,AS_NEW
8042,4570,HOUSE,APARTMENT_BLOCK,835000,16,614,0,0,0,1,100,1,600,1600,4,0,
8044,8780,HOUSE,HOUSE,276400,3,126,0,0,0,0,,0,,278,3,0,AS_NEW
8046,8200,HOUSE,HOUSE,395000,3,142,1,0,0,1,,1,68,168,2,0,GOOD
8048,9520,HOUSE,HOUSE,189000,4,,0,0,0,1,,0,,318,2,0,
8050,1150,HOUSE,HOUSE,1250000,6,325,1,0,0,1,24,1,415,515,3,0,TO_BE_DONE_UP
8052,1331,HOUSE,HOUSE,210000,3,90,1,0,1,1,,1,633,633,4,0,TO_BE_DONE_UP
8054,4460,HOUSE,HOUSE,197500,3,157,1,0,0,1,,1,,234,,0,TO_BE_DONE_UP
8056,4000,HOUSE,HOUSE,465000,3,200,1,0,0,1,32,0,,680,4,0,GOOD
8058,4040,HOUSE,HOUSE,174000,7,232,1,0,0,0,,0,,779,2,0,
8060,3202,HOUSE,HOUSE,249000,3,170,0,0,0,1,,0,,221,1,0,GOOD
8062,8450,APARTMENT,APARTMENT,269000,2,94,1,0,0,1,30,0,,,,0,AS_NEW
8064,2660,APARTMENT,GROUND_FLOOR,158000,2,75,1,0,0,0,,0,,,2,0,AS_NEW
